PROC_TRACEINFO,OP070_V1,OP090_F1,OP070_V2,OP120_R1,OP090_F2,OP110_M1,OP100_C1,OP120_R2,OP070_V3,OP090_F3,OP110_M2,OP090_F4,OP070_V3,TEST_OP070_V1,TEST_OP090_F1,TEST_OP070_V2,TEST_OP120_R1,TEST_OP090_F2,TEST_OP110_M1,TEST_OP100_C1,TEST_OP120_R2,TEST_OP070_V3,TEST_OP090_F3,TEST_OP110_M2,TEST_OP090_F4,TEST_OP070_V3
1,180.4,190.51,173.1,113.64,12.04,12.16,,11.97,6.62,26.37,18.8,109.62,6.6,162.8,164.4,150.7,119.51,11.88,12.29,,11.97,6.61,23.99,17.9,92.45,6.6
2,138.7,147.7,163.5,109.77,12.12,12.19,0.39,11.97,6.41,21.03,18.5,105.48,6.4,122.8,177.09,145.5,118.82,12.07,12.27,,11.97,6.62,25.35,21.4,104.67,6.61
3,180.9,150.87,181.2,109.79,11.86,12.24,,11.97,6.62,25.81,17.5,100.03,6.61,189.6,164.47,186.7,110.46,11.85,12.25,,11.97,6.64,27.49,17.3,103.39,6.6
4,173.5,159.56,151.8,113.25,11.82,12.35,0.39,11.97,6.62,24.62,15.6,104.94,6.61,141.8,161.14,169.9,113.2,12.07,12.24,,11.98,6.62,23.71,16.5,99.84,6.6
5,174.5,172.29,177.5,112.88,12.07,12.19,,11.97,6.62,29.22,33.6,99.19,6.61,155.1,165.67,166.1,112.58,11.84,12.18,,11.97,6.61,27.38,21.5,102.64,6.6
6,158.7,165.79,178.4,112.09,11.88,12.15,,11.97,6.62,25.99,22.3,97.13,6.63,170.5,170.1,165.6,115.12,12.06,12.36,,11.97,6.61,24.54,9.7,98.15,6.63
7,158.8,153.91,152.5,111.25,12.11,12.19,0.38,11.97,6.41,18.79,17.7,81.56,6.4,184.1,145.95,152.8,110.07,11.79,12.34,,11.97,6.61,24.1,11.1,94.22,6.61
8,181,164.02,175.8,117.5,11.75,12.14,,11.97,6.61,24.33,36,95.12,6.62,131,176.73,144.8,114.31,12.06,12.08,,11.97,6.62,25.39,24.7,101.35,6.6
9,156.1,159.5,151.8,111.75,12.09,12.21,,11.97,6.61,26.07,16.6,101.57,6.61,168.7,145.12,197.8,114,12.04,12.36,0.41,11.97,6.43,21.6,11.2,101.82,6.39
10,159.4,162.99,128.3,107.68,11.88,12.35,,11.98,6.62,24.05,17.9,99.2,6.6,185.3,170.9,161.1,114.75,12.06,12.32,,11.97,6.62,22.7,44.9,103.42,6.63
11,165.9,157.94,164.2,115.89,12.09,12.19,,11.97,6.61,23.11,16.9,97.62,6.6,134,157.41,162.1,109.66,11.75,12.38,,11.97,6.61,26.68,10.1,109.46,6.61
12,168.9,150.21,152,114.4,12.12,12.14,0.4,11.97,6.41,17.88,15.2,77.85,6.44,182.5,155.04,164.3,111.39,12.09,12.16,,11.97,6.61,22.52,28.9,93.68,6.6
13,159.1,157.32,160.5,120.2,12.07,12.35,,11.97,6.61,24.6,12.8,101.61,6.62,131.3,167.14,129.5,108.94,11.82,12.46,0.41,11.97,6.62,30.59,16.7,113.45,6.61
14,154.1,167.31,179.6,119.24,11.76,12.33,,11.97,6.6,28.73,14.6,103.52,6.6,136.6,137.42,151.3,117.49,12.1,12.25,0.35,11.97,6.41,21.4,13.9,94.52,6.4
15,142.9,163.31,161.6,107.48,11.9,12.24,,11.97,6.61,27.19,14.1,99.51,6.61,172.3,152.71,173.8,115.2,11.86,12.19,0.39,11.97,6.6,22.83,47.2,95.69,6.6
16,159.4,147.9,123.3,110.67,12.11,12.26,0.38,11.97,6.41,19.14,13.9,83.96,6.41,186.1,169.8,175.4,108.51,11.76,12.3,,11.97,6.61,26.29,43,97.73,6.62
17,146.7,150.12,162.6,109.52,12.04,12.26,0.41,11.97,6.41,23.71,20.6,103.06,6.42,156.3,164.9,158.4,112.21,11.84,12.23,,11.97,6.61,27.83,22.3,104.19,6.64
18,157.4,161.95,171,118.09,12.09,12.2,,11.97,6.62,23.9,19.2,100.61,6.63,172.1,171.84,185.6,115.01,11.83,12.25,,11.97,6.61,24.53,15.7,105.19,6.63
19,173.1,166.42,152.6,112.71,11.88,12.2,,11.97,6.62,23.55,22.3,103.19,6.61,171.8,169.09,166.4,108.81,12.07,12.24,,11.97,6.6,24.13,17.9,99.84,6.6
20,144.6,154.25,157.8,112.84,12.08,12.11,,11.97,6.62,22.64,26.1,97.95,6.61,190.7,178.85,159.8,111.83,12.05,12.39,,11.97,6.61,23.87,8.7,101.41,6.6
21,164.3,150.33,159.6,116.6,11.84,12.11,0.41,11.97,6.6,26.26,29,104.55,6.6,162.1,155.53,156.9,119.08,12.13,12.28,0.4,11.97,6.41,21.36,14.7,96.01,6.41
22,165.5,171.53,151.1,115.1,12.07,12.28,,11.97,6.61,23.14,13.6,98.63,6.61,174.9,136.84,197.9,111.79,12.05,12.28,0.41,11.97,6.42,24.67,14.2,97.42,6.38
23,171.5,137.05,197.4,111.91,11.72,12.16,,11.97,6.61,23.16,21.9,97.39,6.48,158.3,152.3,141.2,109.73,11.82,12.26,0.38,11.97,6.61,24.88,17.7,103.45,6.62
24,155,162.56,134,110.49,11.81,12.26,0.35,11.97,6.61,26.53,15,98.6,6.63,146.1,154.84,148.3,113.15,12.09,12.19,,11.97,6.62,22.18,19.3,98.63,6.61
25,127.9,153.98,160.7,111.89,12.11,12.22,,11.97,6.6,23.12,15.5,98.16,6.61,197.4,177.68,140.4,112.75,12.06,12.19,,11.97,6.55,23.9,15.8,105.92,6.61
26,168.3,160.81,154.3,108.75,11.81,12.3,0.36,11.97,6.61,27.05,14.9,109.91,6.61,175.2,156.01,176.4,120.24,12.04,12.19,0.41,11.97,6.41,21.49,22.6,98.14,6.42
27,189.3,152.74,176.6,115.42,12.08,12.18,,11.97,6.63,23.35,23.9,94.58,6.61,184.2,166.41,176.9,114.84,11.83,12.29,,11.97,6.62,28.2,11.9,100.45,6.61
28,150.1,161.62,163.8,112.58,12.08,12.32,,11.98,6.62,21.13,19.3,94.85,6.62,149.9,153.16,127.4,117.45,11.83,12.25,0.36,11.97,6.6,24.56,27.6,104.36,6.61
29,177.6,174.94,185.7,117.1,12.06,12.24,,11.98,6.6,22.77,11.1,103.92,6.61,183.5,135.72,168.4,109.89,12.06,12.35,0.41,11.97,6.41,22.14,12.5,100.14,6.4
30,185,150.97,170.3,119.93,11.78,12.28,,11.97,6.61,25.79,15.6,93.74,6.61,155,169.7,186.4,116.7,12.09,12.27,,11.97,6.63,25.77,14.5,102.3,6.63
31,172.5,180.52,166.4,111.97,11.89,12.34,,11.97,6.6,24.86,10,111.55,6.6,141.4,145.48,173.6,107.58,11.85,12.28,0.38,11.97,6.61,26.43,17.6,102.38,6.62
32,166.8,160.09,154.6,109.9,11.9,12.25,,11.97,6.61,24.75,17.1,97.14,6.6,169.2,136.6,142.1,115.21,12.1,12.29,0.41,11.97,6.41,23.25,16,100.79,6.41
33,162,174.69,136.2,112.98,11.89,12.29,,11.97,6.62,26.48,11,104.1,6.6,150.5,173.73,177.6,112.63,12.06,12.26,,11.97,6.62,22.11,20.5,99.46,6.61
34,137.6,188.97,149.2,110.52,12.05,12.31,,11.97,6.62,25,8.1,101.86,6.61,183.7,174.38,177.9,111.6,12.05,12.2,,11.97,6.62,26.79,21.9,102.61,6.61
35,154,148.18,169.8,111.88,11.85,12.15,,11.97,6.61,30.13,27.7,103.06,6.62,137.8,156.97,132.4,116.85,11.83,12.24,0.36,11.97,6.61,24.72,21.5,100.81,6.62
36,164.2,150.01,176.1,115.74,12.12,12.33,0.4,11.97,6.41,21.93,15.3,99.23,6.41,153.2,163.19,156.1,112.11,11.81,12.19,0.34,11.97,6.6,24.99,18.1,93.97,6.62
37,144.2,160.79,139.1,110.07,12.1,12.12,0.41,11.97,6.41,23.8,21.9,102.79,6.42,131.7,158.52,150.6,116.74,11.83,12.21,0.38,11.97,6.62,26.61,27.1,100.89,6.61
38,138,143.33,166.6,116.71,11.82,12.17,,11.97,6.61,22.07,17.2,94.25,6.61,184.7,150.75,167.7,114.47,12.11,12.25,0.41,11.97,6.44,24.83,13.7,103.36,6.43
39,139.6,147.97,169.2,111.4,12.13,12.33,0.38,11.97,6.41,21.65,19.2,98.22,6.42,157,156.06,175.9,114.56,12.03,12.2,0.38,11.97,6.41,27.1,21.6,103.75,6.43
40,175.7,154.49,169.7,112.4,12.11,12.3,0.4,11.97,6.41,20.85,12.7,88.22,6.4,156.3,164.28,157,113.71,11.75,12.3,,11.97,6.62,26.6,13.8,102.36,6.61
41,138.8,158.57,163.1,114.48,12.09,12.28,,11.97,6.62,23.75,22.5,100.74,6.62,175.5,143.75,166.1,112.84,12.13,12.25,0.39,11.97,6.41,17.91,36.1,80.77,6.4
42,140.2,165.26,152.1,114.4,12.07,12.22,,11.97,6.63,23.44,22.1,94.81,6.61,178.9,150.86,166,110.65,11.69,12.25,,11.97,6.6,23.8,11,94.55,6.62
43,158.2,164.59,155.2,112.4,11.93,12.39,,11.97,6.62,27.43,15.3,113.99,6.61,176.2,164.14,153.6,115.53,11.88,12.25,,11.97,6.62,25.68,16,95.77,6.62
44,166.3,162.23,142.6,111.53,12.07,12.28,,11.97,6.6,23.14,11.8,101.05,6.61,146.4,166.3,160.4,114.2,12.06,12.42,,11.97,6.62,19.99,14,96.73,6.64
45,150.4,149.32,160.3,115.98,12.13,12.17,0.4,11.97,6.4,23.17,27.7,96.73,6.41,142.4,153.45,178.7,115.04,11.78,12.2,,11.97,6.61,25.48,40.2,105.59,6.6
46,153.8,168.23,175.6,116.68,12.08,12.14,,11.97,6.62,24.3,24.1,97.11,6.61,189.6,165.59,171.3,114.3,12.09,12.18,,11.97,6.61,23.19,35.9,97.9,6.6
